Query,Retrieved_Act,Top Chunk Section,Top Chunk Text,Model Answer,Runtime
how can i get an identification card,Persons with Disabilities Act,14 – Right to documents of registration or identification - Right to documents of registration or identification,"(1) Every person with disability has a right to be issued with a certificate of birth, national identification card, passport, disability identification card and any other document of registration or identification free of charge. (2) No person with disability shall be deprived, on the basis of disability, of his or her ability to obtain, possess and utilize documentation of his or her nationality or other documentation of identification, or to utilize relevant processes, that may be needed to f","To obtain an identification card, you must apply to the Council established under the Persons with Disabilities Act. The Council is responsible for registering persons with disabilities and issuing disability identification cards. According to section 35(1)(a) of the Persons with Disabilities Act, the Council shall issue disability identification cards to persons with disabilities who apply for registration. Additionally, section 14(1) of the same Act guarantees that every person with a disability has the right to be issued with a national identification card and other documents of registration or identification free of charge. You should contact the Council to apply for registration and obtain your identification card.",22769.06
how can i get justice,Constitution of Kenya,24 – Chief Justice - Chief Justice,"(1) The Chief Justice in office immediately before the effective date shall, within six months after the effective date, vacate office and may choose either— (a) to retire from the judiciary; or (b) subject to the process of vetting under section 23, to continue to serve on the Court of Appeal. (2) A new Chief Justice shall be appointed by the President, subject to the National Accord and Reconciliation Act, and after consultation with the Prime Minister and with the approval of the National Ass","To get justice in Kenya, you can rely on the constitutional and legislative provisions that ensure access to justice for all persons, including those with disabilities. Under **Constitution of Kenya, Article 48(1)**, the State is obligated to ensure access to justice for all, and any fees required must be reasonable and not impede access to justice. If you are a **person with a disability**, **Persons with Disabilities Act, s. 28(1)** guarantees you the right to effective access to justice on an equal basis with others, including through accommodations such as sign language interpreters, Braille services, and other assistive technologies. Additionally, **s. 28(2)(a)** and **s. 28(3)(a)** provide for **free legal services** and **exemption from court fees** for matters affecting the rights of persons with disabilities or the deprivation of their property. If you are unable to afford legal representation, you may also seek assistance from legal aid services or NGOs that provide support to vulnerable groups. The **Chief Justice** is also empowered to make rules to ensure that persons with disabilities can access justice effectively. In all cases, you have the right to participate fully in legal proceedings, and the law requires that the legal system accommodates the needs of all individuals to ensure fairness and equality.",43138.85
right to freedom of works,Constitution of Kenya,33 – Freedom of expression - Freedom of expression,"(1) Every person has the right to freedom of expression, which includes— (a) freedom to seek, receive or impart information or ideas; (b) freedom of artistic creativity; and (c) academic freedom and freedom of scientific research. (2) The right to freedom of expression does not extend to— (a) propaganda for war; (b) incitement to violence; (c) hate speech; or (d) advocacy of hatred that— (i) constitutes ethnic incitement, vilification of others or incitement to cause harm; or (ii) is based on an","The context provided does not contain specific legal information regarding the ""right to freedom of works."" Therefore, it is not possible to provide a legal summary based solely on the given context.",10670.95
what is freedom of religion,Constitution of Kenya,"32 – Freedom of conscience, religion, belief and opinion - Freedom of conscience, religion, belief and opinion","(1) Every person has the right to freedom of conscience, religion, thought, belief and opinion. (2) Every person has the right, either individually or in community with others, in public or in private, to manifest any religion or belief through worship, practice, teaching or observance, including observance of a day of worship. (3) A person may not be denied access to any institution, employment or facility, or the enjoyment of any right, because of the person’s belief or religion. (4) A person ","Freedom of religion, as guaranteed by the Constitution of Kenya, is the right of every person to freedom of conscience, religion, thought, belief and opinion. This includes the right to manifest any religion or belief through worship, practice, teaching or observance, including the observance of a day of worship. Furthermore, no person may be denied access to any institution, employment or facility, or the enjoyment of any right, because of the person’s belief or religion. Additionally, no person shall be compelled to act, or engage in any act, that is contrary to the person’s belief or religion. This right is also extended to children, who have the right to religious education and guidance, subject to appropriate parental guidance and in the best interest of the child.",24415.38
right to education,Children Act,13 – Right to basic education - Right to basic education,"(1) Every child has the right to free and compulsory basic education in accordance with Article 53(1)(b) of the Constitution. (2) It shall be the responsibility of every parent or guardian to present for admission or cause to be admitted his or her child, as the case may be, to a basic education institution. (3) The Cabinet Secretary shall, in consultation with the Cabinet Secretary for the time being responsible for education develop and implement policies for the realization by every child of ","**Legal Summary on the Right to Education:** Under Kenyan law, every child has the **right to free and compulsory basic education**, as guaranteed by **Article 53(1)(b)** of the Constitution and **Children Act s.13(1)**. This right is further reinforced by the **Persons with Disabilities Act s.20(1)**, which ensures that **every child with disability also has the right to free and compulsory basic education** and shall not be excluded from early childhood, primary, or secondary education on the basis of disability. The **National and County Governments** are responsible for ensuring **inclusive and accessible education** for all children, including those with disabilities, as outlined in **Persons with Disabilities Act s.20(4)** and **s.20(6)**. Additionally, **learning institutions** must accommodate the needs of persons with disabilities by adjusting entry requirements, curriculum, examinations, and other educational considerations, as stipulated in **Persons with Disabilities Act s.20(8)(a)**. Furthermore, **religious education** is permitted, provided it does not interfere with a child’s right to education or other fundamental rights, as stated in **Children Act s.15(1)** and **s.15(2)**. In summary, the **right to education** in Kenya is guaranteed to all children, with special emphasis on **accessibility, inclusivity, and non-discrimination**, particularly for children with disabilities.",41485.97
when can someone get bail?,Criminal Procedure Code,124 – Bail bond - Bail bond,"Before a person is released on bail or on his own recognizance, a bond for such sum as the court or police officer thinks sufficient shall be executed by that person, and, when he is released on bail, by one or more sufficient sureties, conditioned that the person shall attend at the time and place mentioned in the bond and shall continue so to attend until otherwise directed by the court or police officer. [L.N. 142/1963.]","Under Kenyan law, a person may be granted bail under the following circumstances: 1. **Upon arrest or detention without a warrant**: If a person is arrested or detained without a warrant by an officer in charge of a police station, or appears before a court, and is prepared to give bail at any time while in the custody of that officer or at any stage of the proceedings before the court, they may be admitted to bail. The court or officer may also release the person on a bond without sureties for their appearance (Criminal Procedure Code s. 123(1)). 2. **When bail is insufficient**: If the sureties for bail are insufficient, the court may issue a warrant of arrest to bring the person before it and may order them to find sufficient sureties. If they fail to do so, they may be committed to prison (Criminal Procedure Code s. 127). 3. **During an appeal**: If a person is entitled to appeal, the High Court or the subordinate court that convicted them may order their release on bail with or without sureties, or may suspend the execution of the sentence pending the hearing of the appeal. If the appeal is dismissed and the original sentence is confirmed, the time spent on bail or with the sentence suspended is excluded from the total term of imprisonment (Criminal Procedure Code s. 357(1) and (2)). 4. **Before the entry of an appeal**: The High Court or the subordinate court may grant bail or stay the execution of a sentence pending the entry of an appeal, on reasonable terms. If the person is ultimately liable to a sentence of imprisonment, the time spent on bail or with the execution stayed is excluded from the total term of imprisonment (Criminal Procedure Code s. 356(1) and (2)). 5. **Exception to the right to bail**: Subject to Article 49(1)(h) of the Constitution, the court may, in certain cases, deny bail even if the person is otherwise eligible (Criminal Procedure Code s. 123A). In all cases, the amount of bail shall be fixed with due regard to the circumstances of the case and shall not be excessive (Criminal Procedure Code s. 123(2)).",68774.89
What makes a contract legally binding in Kenya?,Law of Contract Act,2 – English law of contract to apply in Kenya. - English law of contract to apply in Kenya.,"(1) Save as may be provided by any written law for the time being in force, the common law of England relating to contract, as modified by the doctrines of equity, by the Acts of Parliament of the United Kingdom applicable by virtue of subsection 2 of this section and by the Acts of Parliament of the United Kingdom specified in the Schedule to this Act, to the extent and subject to the modifications mentioned in the said Schedule, shall extend and apply to Kenya: Provided that no contract in wri","A contract is legally binding in Kenya if it meets the requirements of the Law of Contract Act, which incorporates the English law of contract, as modified by Kenyan law. Specifically, a contract is binding if it is made in writing and is not void solely because it is not under seal (Law of Contract Act s. 2). Additionally, for foreign contracts of service, the employer must provide security by bond in the prescribed form, with one or more sureties resident in Kenya, if the employer does not reside in Kenya (Employment Act s. 84(1)). Furthermore, a contract made abroad may still be enforceable in Kenya if it is in conformity with Kenyan law, including proper attestation and execution (Employment Act s. 88(2)-(3)). In summary, a contract is legally binding in Kenya if it satisfies the legal formalities and requirements set out in the relevant statutes.",30617.49
Can I cancel a contract after signing it?,Land Act,38 – Validity of contracts in sale of land - Validity of contracts in sale of land,"(1) Other than as provided by this Act or by any other written law, no suit shall be brought upon a contract for the disposition of an interest in land— (a) the contract upon which the suit is founded— (i) is in writing; (ii) is signed by all the parties thereto; and (b) the signature of each party signing has been attested to by a witness who was present when the contract was signed by such party. (2) Subsection (1) shall not apply to— (a) a contract made in the course of a public action; (b) t","Under Kenyan law, whether you can cancel a contract after signing it depends on the specific circumstances and the nature of the contract. Here is a legal summary: 1. **General Rule**: Under the **Land Act** (Act No. 28 of 2016, s. 55), a contract for the disposition of an interest in land must be in writing, signed by all parties, and attested by a witness. However, this section does not provide a general right to cancel a contract after signing. It only governs the validity of such contracts in legal proceedings. 2. **Employment Contracts**: - Under the **Employment Act** (Cap. 303), a contract of service must be in writing if it involves employment for a period or work that could not be completed within three months (s. 9). - A **labour officer** may cancel or prohibit a contract involving a child if it constitutes child labour or involves an undesirable employer (s. 55). - If an employment contract expires during a journey, the employer may extend the contract for up to one month to complete the journey (s. 39). 3. **Criminal Procedure Code**: The **High Court** may cancel a bond or order under certain circumstances, but this applies to specific legal orders rather than general contracts (s. 60). 4. **General Cancellation**: There is no general provision in Kenyan law that allows for the cancellation of any contract after signing. Cancellation typically requires a valid legal reason, such as breach of contract, illegality, or specific statutory provisions (e.g., those involving child labour or land transactions). In conclusion, whether a contract can be cancelled after signing depends on the specific legal provisions applicable to the contract and the circumstances surrounding its execution. If the contract involves child labour, land, or employment, specific statutory provisions may allow for cancellation. For other types of contracts, cancellation would generally require a valid legal basis.",57947.46
How much notice should an employer give before termination?,Employment Act,38 – Waiver of notice by employer - Waiver of notice by employer,"Where an employee gives notice of termination of employment and the employer waives the whole or any part of the notice, the employer shall pay to the employee remuneration equivalent to the period of notice not served by the employee as the case may be, unless the employer and the employee agree otherwise.","The notice period an employer must give before termination of employment is determined by the terms of the contract of service. If the contract provides for a longer notice period than that required by the Employment Act, the longer period applies. However, if the notice period is not specified in the contract, the minimum notice period is governed by the Employment Act. Specifically, an employee who receives notice of termination is entitled to service pay for every year worked if the termination is under subsection (1)(c) of section 35 of the Employment Act. Additionally, an employer must notify the termination of employment in writing to the nearest employment service office within two weeks of the termination, as provided in section 78 of the Employment Act. If the employer waives the notice period, they must compensate the employee for the period of notice not served, unless otherwise agreed.",26827.81
Can my landlord increase rent without notice?,Distress for Rent Act,21 – Payments by lodger to superior landlord - Payments by lodger to superior landlord,"For the purposes of the recovery of any sums payable by an under-tenant or lodger to a superior landlord under an undertaking referred to in section 19, or under notice served in accordance with section 23, the under-tenant or lodger shall be deemed to be the immediate tenant of the superior landlord, and the sums payable shall be deemed to be rent; but, where the under-tenant or lodger has, in pursuance of any such undertaking or notice, paid any sums to the superior landlord, he may deduct the","Under Kenyan law, there is no specific provision in the Distress for Rent Act or other referenced legal documents that permits a landlord to increase rent without notice. The Act primarily addresses issues related to distraint for rent, arrears, and the rights of landlords and tenants in specific circumstances, such as when a tenant holds premises after notice to quit or when a lodger pays sums to a superior landlord. In general, the law in Kenya, particularly under the **Landlord and Tenant Act (Cap. 22, Laws of Kenya)**, requires landlords to provide reasonable notice before increasing rent. However, the specific legal framework for rent increases is not detailed in the provided context. Therefore, based solely on the information given, it cannot be definitively stated whether a landlord may increase rent without notice. The answer is not contained within the provided legal context.",29236.12
Can a landlord evict me without a court order?,Distress for Rent Act,20 – Penalty on superior landlord disregarding lodger’s declaration - Penalty on superior landlord disregarding lodger’s declaration,"If a superior landlord, or a licensed auctioneer or other agent employed by him, after being served with the declaration and inventory referred to in section 19, and in the case of an under-tenant or lodger after an undertaking has been given, and the amount of rent (if any) then due has been paid or tendered in accordance with that undertaking, levies or proceeds with a distress on the furniture, goods or chattels of the under-tenant, lodger or other person, the superior landlord, licensed auct","Under Kenyan law, a landlord **cannot evict you without a court order**. Eviction is a legal process that requires a court to determine whether the tenant has breached the terms of the lease or has otherwise committed an actionable wrong, such as non-payment of rent or unlawful possession. While the **Distress for Rent Act** provides mechanisms for landlords to recover arrears of rent and to distrain goods, these measures are **not eviction**. They are remedies for the recovery of debts or for the enforcement of rental agreements. **Eviction**, however, is a separate legal action that must be pursued through the courts. Therefore, unless the tenant has committed a serious breach of the lease agreement, such as non-payment of rent or unlawful possession, a landlord **cannot evict you without a court order**. (See **Distress for Rent Act** and general principles of landlord-tenant law in Kenyan law.)",30544.7
How do I report cybercrime in Kenya?,Criminal Procedure Code,23 – PREVIOUS CONVICTION - PREVIOUS CONVICTION,"65 ” report design to commit cognizable offence 63 ” ” sudden death 386 ” send body to medical officer 386(2) ” show warrant of person arrested 107 ” take person arrested without warrant before 33 magistrate warrants directed to 104 POLICE STATION— meaning of 2 officer in charge of 2 POST-MORTEM EXAMINATION, in case of 386(2) sudden death PREMISES— power to break into under arrest warrant 22(2) ” ” ” out of under arrest warrant 23 PRESIDENT— capital case to be reported to 332 finding of guilty b","Reporting cybercrime in Kenya can be done through the following legal procedures: 1. **Report to the police**: Under the **Criminal Procedure Code, s. 23(2)**, any person who has reason to believe that a cognizable offence has been committed must report it to the police. For cybercrimes, this includes offenses such as cyber fraud, hacking, and online harassment. 2. **Provide evidence**: The **Criminal Procedure Code, s. 23(2)** also requires that the report include sufficient evidence to establish the nature of the crime. This may include digital evidence, screenshots, logs, or any other relevant documentation. 3. **File a formal complaint**: The complainant may file a formal complaint with the police, which will then be investigated under the **Criminal Procedure Code, s. 107**, which outlines the procedure for handling complaints and arrests. 4. **Cybercrime units**: Kenya has specialized cybercrime units within the police force, such as the **National Cybercrime Coordination Centre (NCCC)**, which is responsible for handling cybercrime reports and coordinating with relevant agencies. 5. **Data Protection Act**: If the cybercrime involves personal data, the **Data Protection Act, s. 75** may apply, requiring the reporting of data breaches and the obligation of data controllers to notify affected individuals and the Data Protection Commissioner. 6. **Follow-up**: Once a report is filed, the police will investigate the matter and take appropriate legal action. If the cybercrime involves international elements, the **Kenya Police Cybercrime Unit** may collaborate with international law enforcement agencies. For any cybercrime, it is essential to act promptly and provide detailed information to ensure a proper investigation.",53865.36
How do I report unpaid salaries or benefits?,Employment Act,18 – When wages or salaries due - When wages or salaries due,"or salaries shall be deemed to be due— (a) in the case of a casual employee, at the end of the day; (b) in the case of an employee employed for a period of more than a day but not exceeding one month, at the end of that period; (c) in the case of an employee employed for a period exceeding one month, at the end of each month or part thereof; (d) in the case of an employee employed for an indefinite period or on a journey, at the expiration of each month or of such period, whichever date is the e","To report unpaid salaries or benefits, you should follow the procedures outlined in the **Employment Act**. Specifically: - If you are a **casual employee**, wages or salaries due shall be paid **at the end of the day** (Employment Act s.18(1)(a)). - If you are employed for **more than a day but not exceeding one month**, wages or salaries due shall be paid **at the end of that period** (Employment Act s.18(1)(b)). - If you are employed for **more than one month**, wages or salaries due shall be paid **at the end of each month or part thereof** (Employment Act s.18(1)(c)). - If you are employed for an **indefinite period or on a journey**, wages or salaries due shall be paid **at the end of each month or of such period**, whichever is earlier, and upon **completion of the journey** (Employment Act s.18(1)(d)). If your employment has been **terminated**, you are entitled to be paid all moneys, allowances, and benefits due to you **up to the date of your dismissal** (Employment Act s.18(4)). If you believe your employer has failed to pay your salaries or benefits, you may also seek **legal redress** through the **Employment and Labour Relations Court**, which may issue an **order, judgment, or award** to enforce payment (Employment Act s.18(3)). If you are not receiving **work injury benefits**, you must ensure that the **accident is reported to your employer within twelve months** of the incident (Work Injury Benefits Act s.27(1)). If the accident was not reported within this timeframe, your right to benefits may lapse, unless the employer had **knowledge of the accident from another source** (Work Injury Benefits Act s.27(2)). If you are not receiving **unpaid rents or other payments**, the **landowner or relevant authority** may charge **late payment interest** at a rate of **two percent per month** or as specified in the **Gazette** (Land Act s.29(1)). If the interest becomes payable, the **government** must serve a **notice** on the debtor demanding payment (Land Act s.29(3)). If you are not paying **unpaid taxes**, the **Commissioner** may recover the unpaid",73969.81
